Date,Silenced-gene,Live,Dead,pvalue
08-Oct,Twitch,9,0,1
08-Oct,Gly,8,1,1
20-Oct,CuP14,4,5,1
21-Oct,Gly,7,2,0.1534348004936241
21-Oct,clmd,2,7,0.9999999999999999
23-Oct,CuP14,5,4,0.2941176470588232
23-Oct,CuP8,8,1,1
23-Oct,clmd,5,4,0.2941176470588232
26-Oct,CuP8,5,4,0.33484162895927594
17-Nov,clmd,8,1,1
08-Oct,GFP,9,0,NA
20-Oct,GFP,4,5,NA
21-Oct,GFP,3,6,NA
23-Oct,GFP,8,1,NA
26-Oct,GFP,2,7,NA
17-Nov,GFP,8,1,NA
21-Dec,GFP,12,6,NA
