Date,Experiment,Treatment,Sample,Gene,RQ
01-Feb,Anl_exp,Control,GFP-34,ARV2,4.802083492
01-Feb,Anl_exp,Silenced,Anl-4,ARV2,1.91725862
01-Feb,Anl_exp,Silenced,Anl-12,ARV2,3.663002968
01-Feb,Anl_exp,Control,GFP-35,ARV2,3.095529318
01-Feb,Anl_exp,Silenced,Anl-5,ARV2,3.747790098
01-Feb,Anl_exp,Silenced,Anl-13,ARV2,2.555752754
01-Feb,Anl_exp,Control,GFP-36,ARV2,4.104437828
01-Feb,Anl_exp,Silenced,Anl-6,ARV2,11.78512478
01-Feb,Anl_exp,Silenced,Anl-14,ARV2,4.969740391
01-Feb,Anl_exp,Control,GFP-37,ARV2,4.646331787
01-Feb,Anl_exp,Silenced,Anl-7,ARV2,2.19430685
01-Feb,Anl_exp,Silenced,Anl-15,ARV2,7.645775318
01-Feb,Anl_exp,Silenced,Anl-8,ARV2,4.316780567
01-Feb,Anl_exp,Silenced,Anl-16,ARV2,3.119913816
01-Feb,Twitch_exp,Control,GFP-14,VDV2,1
01-Feb,Twitch_exp,Silenced,Twitch-1,VDV2,0.799391031
01-Feb,Twitch_exp,Silenced,Twitch-9,VDV2,1.152737379
01-Feb,Twitch_exp,Control,GFP-15,VDV2,0.72659564
01-Feb,Twitch_exp,Silenced,Twitch-2,VDV2,4.978861809
01-Feb,Twitch_exp,Control,GFP-30,VDV2,0.772791386
01-Feb,Twitch_exp,Silenced,Twitch-3,VDV2,0.826498091
01-Feb,Twitch_exp,Control,GFP-31,VDV2,3.395053625
01-Feb,Twitch_exp,Silenced,Twitch-4,VDV2,1.251541138
01-Feb,Twitch_exp,Control,GFP-32,VDV2,1.33221674
01-Feb,Twitch_exp,Silenced,Twitch-5,VDV2,2.096344471
01-Feb,Twitch_exp,Control,GFP-6,VDV2,0.719724894
01-Feb,Twitch_exp,Silenced,Twitch-6,VDV2,1.251625538
01-Feb,Twitch_exp,Control,GFP-12,VDV2,0.885120034
01-Feb,Twitch_exp,Silenced,Twitch-7,VDV2,0.57933706
01-Feb,Twitch_exp,Silenced,Twitch-8,VDV2,0.969848037
01-Feb,Twitch_exp,Control,GFP-14,ARV2,1
01-Feb,Twitch_exp,Silenced,Twitch-1,ARV2,0.392100096
01-Feb,Twitch_exp,Silenced,Twitch-9,ARV2,1.263097167
01-Feb,Twitch_exp,Control,GFP-15,ARV2,0.896009624
01-Feb,Twitch_exp,Silenced,Twitch-2,ARV2,56.65749359
01-Feb,Twitch_exp,Control,GFP-30,ARV2,0.603560448
01-Feb,Twitch_exp,Silenced,Twitch-3,ARV2,0.534820974
01-Feb,Twitch_exp,Control,GFP-31,ARV2,11.87832165
01-Feb,Twitch_exp,Silenced,Twitch-4,ARV2,0.191676199
01-Feb,Twitch_exp,Control,GFP-32,ARV2,1.035289645
01-Feb,Twitch_exp,Silenced,Twitch-5,ARV2,1.544721723
01-Feb,Twitch_exp,Control,GFP-6,ARV2,3.279836655
01-Feb,Twitch_exp,Silenced,Twitch-6,ARV2,0.794487536
01-Feb,Twitch_exp,Control,GFP-12,ARV2,0.522524297
01-Feb,Twitch_exp,Silenced,Twitch-7,ARV2,1.302980065
01-Feb,Twitch_exp,Silenced,Twitch-8,ARV2,0.888301671
28-Jan,Twitch_exp,Control,GFP-14,DWVa,1
28-Jan,Twitch_exp,Silenced,Twitch-1,DWVa,1.708491087
28-Jan,Twitch_exp,Silenced,Twitch-9,DWVa,3.889502525
28-Jan,Twitch_exp,Control,GFP-15,DWVa,0.67235148
28-Jan,Twitch_exp,Silenced,Twitch-2,DWVa,3.492918253
28-Jan,Twitch_exp,Control,GFP-30,DWVa,0.000597845
28-Jan,Twitch_exp,Silenced,Twitch-3,DWVa,50.44969177
28-Jan,Twitch_exp,Control,GFP-31,DWVa,18.19165039
28-Jan,Twitch_exp,Silenced,Twitch-4,DWVa,34.3407135
28-Jan,Twitch_exp,Control,GFP-32,DWVa,1.351563215
28-Jan,Twitch_exp,Silenced,Twitch-5,DWVa,3.548472166
28-Jan,Twitch_exp,Control,GFP-6,DWVa,5.447145462
28-Jan,Twitch_exp,Silenced,Twitch-6,DWVa,1.358439565
28-Jan,Twitch_exp,Control,GFP-12,DWVa,2.20E-05
28-Jan,Twitch_exp,Silenced,Twitch-7,DWVa,0.000182709
28-Jan,Twitch_exp,Silenced,Twitch-8,DWVa,0.020290924
18-Jan,Trans_exp,Control,GFP-12,DWVa,1
18-Jan,Trans_exp,Silenced,Trans-1,DWVa,0.565068781
18-Jan,Trans_exp,Silenced,Trans-10,DWVa,1.805734515
18-Jan,Trans_exp,Control,GFP-15,DWVa,33715.10938
18-Jan,Trans_exp,Silenced,Trans-2,DWVa,1.620334744
18-Jan,Trans_exp,Silenced,Trans-11,DWVa,9.270752907
18-Jan,Trans_exp,Control,GFP-16,DWVa,20609.64844
18-Jan,Trans_exp,Silenced,Trans-4,DWVa,28339.70117
18-Jan,Trans_exp,Silenced,Trans-12,DWVa,1100.261719
18-Jan,Trans_exp,Control,GFP-8,DWVa,71840.09375
18-Jan,Trans_exp,Silenced,Trans-5,DWVa,82167.67969
18-Jan,Trans_exp,Silenced,Trans-13,DWVa,427181.9375
18-Jan,Trans_exp,Control,GFP-9,DWVa,21.41912842
18-Jan,Trans_exp,Silenced,Trans-6,DWVa,2.314812899
18-Jan,Trans_exp,Silenced,Trans-14,DWVa,485480.0313
18-Jan,Trans_exp,Control,GFP-23,DWVa,465.32901
18-Jan,Trans_exp,Silenced,Trans-7,DWVa,2.68099165
18-Jan,Trans_exp,Silenced,Trans-15,DWVa,7.037041664
18-Jan,Trans_exp,Control,GFP-24,DWVa,1066.745972
18-Jan,Trans_exp,Silenced,Trans-8,DWVa,2.235469341
18-Jan,Trans_exp,Silenced,Trans-16,DWVa,3.380644798
18-Jan,Trans_exp,Silenced,Trans-9,DWVa,10.27898979
19-Jan,Trans_exp,Control,GFP-12,ARV2,1
19-Jan,Trans_exp,Silenced,Trans-1,ARV2,0
19-Jan,Trans_exp,Silenced,Trans-10,ARV2,3.506324291
19-Jan,Trans_exp,Control,GFP-15,ARV2,1.460920691
19-Jan,Trans_exp,Silenced,Trans-2,ARV2,6.085904121
19-Jan,Trans_exp,Silenced,Trans-11,ARV2,3.309775114
19-Jan,Trans_exp,Control,GFP-16,ARV2,30.17097855
19-Jan,Trans_exp,Silenced,Trans-4,ARV2,91.12982941
19-Jan,Trans_exp,Silenced,Trans-12,ARV2,2.026233912
19-Jan,Trans_exp,Control,GFP-8,ARV2,1.535095215
19-Jan,Trans_exp,Silenced,Trans-5,ARV2,3.289085865
19-Jan,Trans_exp,Silenced,Trans-13,ARV2,2.923775434
19-Jan,Trans_exp,Control,GFP-9,ARV2,1.086266518
19-Jan,Trans_exp,Silenced,Trans-6,ARV2,3.129046917
19-Jan,Trans_exp,Silenced,Trans-14,ARV2,4.385559559
19-Jan,Trans_exp,Control,GFP-23,ARV2,3.880997658
19-Jan,Trans_exp,Silenced,Trans-7,ARV2,1.768678546
19-Jan,Trans_exp,Silenced,Trans-15,ARV2,1.193507075
19-Jan,Trans_exp,Control,GFP-24,ARV2,2.652623892
19-Jan,Trans_exp,Silenced,Trans-8,ARV2,1.588892102
19-Jan,Trans_exp,Silenced,Trans-16,ARV2,2.357026577
19-Jan,Trans_exp,Silenced,Trans-9,ARV2,3.132026911
19-Jan,Trans_exp,Control,GFP-12,VDV2,1
19-Jan,Trans_exp,Silenced,Trans-1,VDV2,0.405669481
19-Jan,Trans_exp,Silenced,Trans-10,VDV2,0.627654672
19-Jan,Trans_exp,Control,GFP-15,VDV2,0.80717063
19-Jan,Trans_exp,Silenced,Trans-2,VDV2,1.125626922
19-Jan,Trans_exp,Silenced,Trans-11,VDV2,1.082058191
19-Jan,Trans_exp,Control,GFP-16,VDV2,2.3256042
19-Jan,Trans_exp,Silenced,Trans-4,VDV2,3.357778549
19-Jan,Trans_exp,Silenced,Trans-12,VDV2,0.557700813
19-Jan,Trans_exp,Control,GFP-8,VDV2,1.081302404
19-Jan,Trans_exp,Silenced,Trans-5,VDV2,1.05601573
19-Jan,Trans_exp,Silenced,Trans-13,VDV2,0.725064576
19-Jan,Trans_exp,Control,GFP-9,VDV2,0.879187226
19-Jan,Trans_exp,Silenced,Trans-6,VDV2,1.100819826
19-Jan,Trans_exp,Silenced,Trans-14,VDV2,1.494777083
19-Jan,Trans_exp,Control,GFP-23,VDV2,1.289792418
19-Jan,Trans_exp,Silenced,Trans-7,VDV2,0.547213793
19-Jan,Trans_exp,Silenced,Trans-15,VDV2,0.689780653
19-Jan,Trans_exp,Control,GFP-24,VDV2,1.066739798
19-Jan,Trans_exp,Silenced,Trans-8,VDV2,0.856076241
19-Jan,Trans_exp,Silenced,Trans-16,VDV2,0.866708755
19-Jan,Trans_exp,Silenced,Trans-9,VDV2,0.642403305
